id,question,query,choice_labels,gold_letters,option_texts_json,option_a,option_b,option_c,option_d
en_0001,"In September 2017, Sea Ltd, the Singapore-based technology company, filed a registration statement with the US SEC to register its initial public offering of securities (American Depositary Shares, each representing one Class A Ordinary Share) on the New York Stock Exchange. In addition to a large amount of financial information, the registration statement provided over 50 pages of discussion on Sea Ltd.'s business and industry.
Which of the following is most likely to have been included in Sea's registration statement?","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: In September 2017, Sea Ltd, the Singapore-based technology company, filed a registration statement with the US SEC to register its initial public offering of securities (American Depositary Shares, each representing one Class A Ordinary Share) on the New York Stock Exchange. In addition to a large amount of financial information, the registration statement provided over 50 pages of discussion on Sea Ltd.'s business and industry.
Which of the following is most likely to have been included in Sea's registration statement?

Options:
a. Underwriters' fairness opinion of the offering
b. Assessment of risk factors involved in the business
c. Projected cash flows and earnings for the business

Answer:","a,b,c",b,"{""a"": ""Underwriters' fairness opinion of the offering"", ""b"": ""Assessment of risk factors involved in the business"", ""c"": ""Projected cash flows and earnings for the business Answer:""}",Underwriters' fairness opinion of the offering,Assessment of risk factors involved in the business,Projected cash flows and earnings for the business Answer:,
en_0002,"Applying an Ethical Decision-Making Framework I| A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors. The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts.
The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
Which of the following situational influences is likely to have the most effect on the financial adviser's efforts to get new clients to invest in the funds? His relationship
with his:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Applying an Ethical Decision-Making Framework I| A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors. The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts.
The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
Which of the following situational influences is likely to have the most effect on the financial adviser's efforts to get new clients to invest in the funds? His relationship
with his:

Options:
a. client.
b. employer.
c. teammates.

Answer:","a,b,c",c,"{""a"": ""client."", ""b"": ""employer."", ""c"": ""teammates. Answer:""}",client.,employer.,teammates. Answer:,
en_0003,"Applying an Ethical Decision-Making Framework I| A financial adviser has been saving E 2418 a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
Which of the following statements is most accurate? An ethical deci-sion-making framework:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Applying an Ethical Decision-Making Framework I| A financial adviser has been saving E 2418 a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
Which of the following statements is most accurate? An ethical deci-sion-making framework:

Options:
a. is only beneficial when a firm lacks a code of ethics.
b. is used to improve compliance with laws and regulations.
c. is a tool for analyzing the potential alternative actions and conse-quences of a decision.

Answer:","a,b,c",c,"{""a"": ""is only beneficial when a firm lacks a code of ethics."", ""b"": ""is used to improve compliance with laws and regulations."", ""c"": ""is a tool for analyzing the potential alternative actions and conse-quences of a decision. Answer:""}",is only beneficial when a firm lacks a code of ethics.,is used to improve compliance with laws and regulations.,is a tool for analyzing the potential alternative actions and conse-quences of a decision. Answer:,
en_0004,"Applying an Ethical Decision-Making Framework I| A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
Which of the following is most accurate? Ethical decision-making frameworks:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Applying an Ethical Decision-Making Framework I| A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
Which of the following is most accurate? Ethical decision-making frameworks:

Options:
a. raise awareness of different perspectives.
b. focus attention on short-term consequences.
c. allocate more weight to those who will directly benefit from the decision.

Answer:","a,b,c",a,"{""a"": ""raise awareness of different perspectives."", ""b"": ""focus attention on short-term consequences."", ""c"": ""allocate more weight to those who will directly benefit from the decision. Answer:""}",raise awareness of different perspectives.,focus attention on short-term consequences.,allocate more weight to those who will directly benefit from the decision. Answer:,
en_0005,"Applying an Ethical Decision-Making Framework I| A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his
elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
 Which of the following is most accurate? Ethical decision-making frameworks:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Applying an Ethical Decision-Making Framework I| A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his
elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
 Which of the following is most accurate? Ethical decision-making frameworks:

Options:
a. are not needed if behavior is legal.
b. identify who gains the most from a decision.
c. can help reduce unanticipated ethical lapses and unexpected consequences.

Answer:","a,b,c",c,"{""a"": ""are not needed if behavior is legal."", ""b"": ""identify who gains the most from a decision."", ""c"": ""can help reduce unanticipated ethical lapses and unexpected consequences. Answer:""}",are not needed if behavior is legal.,identify who gains the most from a decision.,can help reduce unanticipated ethical lapses and unexpected consequences. Answer:,
en_0006,"Applying an Ethical Decision-Making Framework I| A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
Using an ethical decision-making framework, which of the following duties would most likely take precedence in the scenario described? The financial adviser's duty to his:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Applying an Ethical Decision-Making Framework I| A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will go to his favorite charity upon his death.
Using an ethical decision-making framework, which of the following duties would most likely take precedence in the scenario described? The financial adviser's duty to his:

Options:
a. client.
b. employer.
c. colleagues.

Answer:","a,b,c",a,"{""a"": ""client."", ""b"": ""employer."", ""c"": ""colleagues. Answer:""}",client.,employer.,colleagues. Answer:,
en_0007,"Applying an Ethical Decision-Making Framework || A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one
week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will
go to his favorite charity upon his death.
Using an ethical decision-making framework, the financial adviser would most likely:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Applying an Ethical Decision-Making Framework || A financial adviser has been saving a portion of his salary to purchase a new vehicle. He is on track to have enough saved within the next three months. His employer has offered a special bonus for this quarter, which will go to the team that attracts the most new investors into the firm's investment funds. In addi-tion to the potential bonus, the firm pays a 5% commission to employees who sell shares in the firm's investment funds. Several of the funds are highly rated, including one designed to provide steady income to investors.
The financial adviser has added only a few new investors to the firm's funds, but his teammates have been very successful in their efforts. The end of the quarter is one
week away, and his team is competing closely with another team for the bonus. One of his teammates informs the financial adviser that he really needs the bonus so his elderly mother can receive medical treatment.
Later that day, the financial adviser meets with an elderly client on a limited income who is seeking more income from his investment portfolio. The client is 89 years old and in poor health. According to the client's will, the client's investment portfolio will
go to his favorite charity upon his death.
Using an ethical decision-making framework, the financial adviser would most likely:

Options:
a. recommend that the elderly client invest at least some of his assets in the highly rated fund.
b. research other investments that can provide steady income before making a recommendation to his elderly client.
c. disclose the commission he would earn before recommending that the elderly client invest at least some of his assets in the highly rated fund.

Answer:","a,b,c",b,"{""a"": ""recommend that the elderly client invest at least some of his assets in the highly rated fund."", ""b"": ""research other investments that can provide steady income before making a recommendation to his elderly client."", ""c"": ""disclose the commission he would earn before recommending that the elderly client invest at least some of his assets in the highly rated fund. Answer:""}",recommend that the elderly client invest at least some of his assets in the highly rated fund.,research other investments that can provide steady income before making a recommendation to his elderly client.,disclose the commission he would earn before recommending that the elderly client invest at least some of his assets in the highly rated fund. Answer:,
en_0008,"When unethical behavior erodes trust in an investment firm, that firm is more likely to 
experience:","Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: When unethical behavior erodes trust in an investment firm, that firm is more likely to 
experience:

Options:
a. lower revenues only.
b. higher expenses only.
c. lower revenues and higher expenses.

Answer:","a,b,c",c,"{""a"": ""lower revenues only."", ""b"": ""higher expenses only."", ""c"": ""lower revenues and higher expenses. Answer:""}",lower revenues only.,higher expenses only.,lower revenues and higher expenses. Answer:,
en_0009,High ethical standards are distinguishing features of which of the following bodies?,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: High ethical standards are distinguishing features of which of the following bodies?

Options:
a. Craft guilds
b. Trade bodies
c. Professional bodies

Answer:","a,b,c",c,"{""a"": ""Craft guilds"", ""b"": ""Trade bodies"", ""c"": ""Professional bodies Answer:""}",Craft guilds,Trade bodies,Professional bodies Answer:,
en_0010,Fiduciary duty is a standard most likely to be upheld by members of a(n):,"Read the following finance exam multiple-choice question and return only the correct option letter(s).

Question: Fiduciary duty is a standard most likely to be upheld by members of a(n):

Options:
a. employer.
b. profession.
c. not-for-profit body.

Answer:","a,b,c",b,"{""a"": ""employer."", ""b"": ""profession."", ""c"": ""not-for-profit body. Answer:""}",employer.,profession.,not-for-profit body. Answer:,
